date,ret_true,VaR95_HAR,VaR95_GARCHt,VaR95_Patch_raw,VaR95_Patch_cal,VaR95_Patch_rollcal
2023-01-03,-0.004218820827044389,-0.012041448985250171,-0.020583213247149373,-0.1324341,,
2023-01-04,0.007690744983219311,-0.016360569004256947,-0.020673259484321527,-0.11979514,,
2023-01-05,-0.011479114788772726,-0.015209298167312792,-0.020762357588688538,-0.124954075,,
2023-01-06,0.022673013698124578,-0.010889864586262054,-0.02085052317582376,-0.10214873,,
2023-01-09,-0.0005670974453844124,-0.01778616845697542,-0.020937771450790316,-0.1170028,,
2023-01-10,0.006988447539274745,-0.015607027796661713,-0.021024117223593677,-0.11724073,,
2023-01-11,0.012568600992159062,-0.012455018266430766,-0.021109574923839806,-0.124558985,,
2023-01-12,0.0036340583798759596,-0.0117786630384693,-0.01497872661022019,-0.11011493,,
2023-01-13,0.0038721939465524713,-0.015201503826333613,-0.01513779198919782,-0.10432392,,
2023-01-17,-0.0018337107165677935,-0.012081297427669205,-0.01529417699129378,-0.11226772,,
2023-01-18,-0.015914004794563397,-0.010681675037968507,-0.015447969677985774,-0.112935275,,
2023-01-19,-0.007306320657099796,-0.013613531320750012,-0.015599253272606091,-0.13145167,,
2023-01-20,0.01845751735041201,-0.011929832022280047,-0.015748106531787365,-0.11765365,,
2023-01-23,0.011927238974187127,-0.013557511314903292,-0.01589460408079035,-0.13339134,,
2023-01-24,-0.0010738745787675086,-0.014150437705955936,-0.016038816716926613,-0.12601636,,
2023-01-25,0.0003747494025541087,-0.011691137060542056,-0.016180811684719586,-0.1351945,,
2023-01-26,0.010930476058112149,-0.0142444170835482,-0.016320652925965132,-0.13463752,,
2023-01-27,0.0022950129028593835,-0.012927832304599937,-0.016458401307434544,-0.12322062,,
2023-01-30,-0.012626434031003164,-0.012355034793958705,-0.016594114828674535,-0.12595944,,
2023-01-31,0.014596449140271694,-0.012153258021047395,-0.016727848811851038,-0.12645832,,
2023-02-01,0.010571825779940092,-0.011019591591231389,-0.016859656075728105,-0.11898382,,
2023-02-02,0.014451886616306808,-0.01729175916370354,-0.016989587095173495,-0.13837858,,
