window_start,window_end,model,N,breaches,coverage,kupiec_p,christoffersen_p,band_95pct,status_95pct
2023-01-25,2024-01-23,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-01-25,2024-01-23,GARCH_t,250,4,0.016,0.004223420508644549,0.34804087228084746,6-20,too_few[6-20]
2023-01-25,2024-01-23,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-01-26,2024-01-24,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-01-26,2024-01-24,GARCH_t,250,4,0.016,0.004223420508644549,0.34804087228084746,6-20,too_few[6-20]
2023-01-26,2024-01-24,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-01-27,2024-01-25,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-01-27,2024-01-25,GARCH_t,250,4,0.016,0.004223420508644549,0.34804087228084746,6-20,too_few[6-20]
2023-01-27,2024-01-25,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-01-30,2024-01-26,HAR,250,26,0.104,0.0005718444787090604,0.8404641024587679,6-20,too_many[6-20]
2023-01-30,2024-01-26,GARCH_t,250,4,0.016,0.004223420508644549,0.34804087228084746,6-20,too_few[6-20]
2023-01-30,2024-01-26,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-01-31,2024-01-29,HAR,250,25,0.1,0.001310903472783953,0.8944957396755309,6-20,too_many[6-20]
2023-01-31,2024-01-29,GARCH_t,250,4,0.016,0.004223420508644549,0.34804087228084746,6-20,too_few[6-20]
2023-01-31,2024-01-29,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-01,2024-01-30,HAR,250,25,0.1,0.001310903472783953,0.8944957396755309,6-20,too_many[6-20]
2023-02-01,2024-01-30,GARCH_t,250,4,0.016,0.004223420508644549,0.34804087228084746,6-20,too_few[6-20]
2023-02-01,2024-01-30,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-02,2024-01-31,HAR,250,26,0.104,0.0005718444787090604,0.8404641024588231,6-20,too_many[6-20]
2023-02-02,2024-01-31,GARCH_t,250,5,0.02,0.013738177258774797,0.39405736205808506,6-20,too_few[6-20]
2023-02-02,2024-01-31,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-03,2024-02-01,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-02-03,2024-02-01,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
2023-02-03,2024-02-01,Patch_raw,250,0,0.0,6.8757671944919e-07,0.034962313786366606,6-20,too_few[6-20]
2023-02-06,2024-02-02,HAR,250,26,0.104,0.0005718444787090604,0.7864053245343707,6-20,too_many[6-20]
2023-02-06,2024-02-02,GARCH_t,250,5,0.02,0.013738177258774797,0.4461166507201564,6-20,too_few[6-20]
